2,56746,1311922
6,819360,6450995
9,264752,5435660
10,479664,7937731
11,367646,5162612
13,392351,4908357
14,790354,5090785
19,212651,9591632
23,695363,7413765
28,5844,537429
33,392371,533839
35,379357,275268
39,734653,9627423
42,169629,8582061
43,811357,4079184
48,126749,7576913
52,552544,3907960
56,598402,6774762
61,511493,6290552
63,337239,6606506
66,242188,9708282
71,260840,593814
72,153979,5874379
74,640171,4560068
78,188440,9727502
80,817855,9640816
83,352112,1469641
86,659189,5818255
90,317479,3501286
91,760347,2918444
95,569090,4059747
99,748037,1583483
104,638448,3444568
107,818452,138430
108,622867,8360602
112,242362,9712644
116,94383,10487494
117,386836,9699935
121,355425,3370017
124,459909,6308809
128,696553,126419
129,330016,3819296
130,887470,8473102
135,868874,8395503
140,313290,1145681
145,205880,4896072
148,412400,3546008
150,204591,1528363
152,93828,5800937
153,328078,9848472
154,525489,553658
158,454484,858428
160,935895,10653753
163,178152,4208331
165,904938,1399688
170,26772,7341097
171,736115,7122489
174,621525,10304875
176,750609,8466043
178,802062,4724759
179,617046,7161797
182,865316,10190768
183,688537,10084219
187,513934,1169720
188,382896,4892266
193,182613,5599695
195,656663,7853459
198,392894,2049562
203,154726,6004072
205,129964,4887248
210,146349,3479584
215,727492,2560692
219,165749,7396026
222,67038,4832474
224,60368,5069485
228,380980,4780205
230,256973,7936548
233,94849,6192320
234,250318,2342531
237,69822,4810984
241,569696,6939270
242,518811,9932071
243,48611,579727
247,44541,6352844
251,630319,3203238
255,107149,8450768
259,158426,8679646
264,394330,10402778
266,719688,1941454
268,84957,2474030
272,453513,7417468
275,535836,3600363
277,381692,10007569
282,441002,7161771
287,379228,5096376
290,286999,1973878
291,54503,3731243
296,185947,3091639
300,44673,5233624
301,705416,3572630
303,528565,1778159
304,819393,9828039
305,924132,8045037
307,55527,7384958
309,11,4317116
314,917107,9386140
317,100801,9904659
321,512411,9791462
322,273192,8344430
327,469228,6142535
332,224823,3354118
333,358577,3600091
338,228646,75621
343,168482,748895
347,540142,9669507
351,737217,8037133
354,932438,9358162
